Time_ms,I_mV
0.0000,0.8373
2.0016,0.8373
4.0032,0.8373
6.0048,0.8373
8.0064,0.8373
10.0080,0.8380
12.0096,0.8434
14.0112,0.8535
16.0128,0.8667
18.0144,0.8784
20.0160,0.8885
22.0176,0.8980
24.0192,0.9075
26.0208,0.9161
28.0224,0.9233
30.0240,0.9288
32.0256,0.9350
34.0272,0.9428
36.0288,0.9516
38.0304,0.9588
40.0320,0.9645
42.0336,0.9692
44.0352,0.9740
46.0368,0.9792
48.0384,0.9860
50.0400,0.9944
52.0416,1.0014
54.0432,1.0053
56.0448,1.0071
58.0464,1.0129
60.0480,1.0234
62.0496,1.0397
64.0512,1.0592
66.0528,1.0808
68.0544,1.0956
70.0560,1.1024
72.0576,1.1024
74.0592,1.1024
76.0608,1.1026
78.0624,1.1075
80.0641,1.1172
82.0657,1.1337
84.0673,1.1550
86.0689,1.1810
88.0705,1.2019
90.0721,1.2149
92.0737,1.2226
94.0753,1.2362
96.0769,1.2561
98.0785,1.2838
100.0801,1.3162
102.0817,1.3510
104.0833,1.3785
106.0849,1.3981
108.0865,1.4111
110.0881,1.4225
112.0897,1.4348
114.0913,1.4577
116.0929,1.4917
118.0945,1.5311
120.0961,1.5658
122.0977,1.5947
124.0993,1.6142
126.1009,1.6258
128.1025,1.6315
130.1041,1.6387
132.1057,1.6478
134.1073,1.6671
136.1089,1.6958
138.1105,1.7291
140.1121,1.7528
142.1137,1.7671
144.1153,1.7736
146.1169,1.7769
148.1185,1.7784
150.1201,1.7828
152.1217,1.7903
154.1233,1.7985
156.1249,1.8050
158.1265,1.8085
160.1281,1.8071
162.1297,1.8009
164.1313,1.7926
166.1329,1.7859
168.1345,1.7791
170.1361,1.7648
172.1377,1.7426
174.1393,1.7100
176.1409,1.6711
178.1425,1.6262
180.1441,1.5824
182.1457,1.5418
184.1473,1.5049
186.1489,1.4695
188.1505,1.4357
190.1521,1.4042
192.1537,1.3743
194.1553,1.3452
196.1569,1.3144
198.1585,1.2821
200.1601,1.2534
202.1617,1.2295
204.1633,1.2103
206.1649,1.1913
208.1665,1.1724
210.1681,1.1548
212.1697,1.1388
214.1713,1.1248
216.1729,1.1127
218.1745,1.1021
220.1761,1.0927
222.1777,1.0832
224.1793,1.0731
226.1809,1.0598
228.1825,1.0433
230.1841,1.0265
232.1857,1.0128
234.1873,1.0031
236.1890,1.0007
238.1906,1.0046
240.1922,1.0113
242.1938,1.0133
244.1954,1.0106
246.1970,1.0059
248.1986,1.0012
250.2002,0.9964
252.2018,0.9917
254.2034,0.9870
256.2050,0.9808
258.2066,0.9730
260.2082,0.9642
262.2098,0.9569
264.2114,0.9513
266.2130,0.9558
268.2146,0.9715
270.2162,0.9967
272.2178,1.0190
274.2194,1.0365
276.2210,1.0460
278.2226,1.0491
280.2242,1.0459
282.2258,1.0412
284.2274,1.0365
286.2290,1.0328
288.2306,1.0307
290.2322,1.0301
292.2338,1.0301
294.2354,1.0301
296.2370,1.0301
298.2386,1.0301
300.2402,1.0301
302.2418,1.0285
304.2434,1.0253
306.2450,1.0205
308.2466,1.0158
310.2482,1.0111
312.2498,1.0078
314.2514,1.0061
316.2530,1.0060
318.2546,1.0060
320.2562,1.0060
322.2578,1.0060
324.2594,1.0060
326.2610,1.0060
328.2626,1.0060
330.2642,1.0060
332.2658,1.0060
334.2674,1.0060
336.2690,1.0060
338.2706,1.0060
340.2722,1.0060
342.2738,1.0060
344.2754,1.0060
346.2770,1.0060
348.2786,1.0060
350.2802,1.0060
352.2818,1.0069
354.2834,1.0094
356.2850,1.0134
358.2866,1.0182
360.2882,1.0229
362.2898,1.0269
364.2914,1.0293
366.2930,1.0301
368.2946,1.0301
370.2962,1.0301
372.2978,1.0301
374.2994,1.0301
376.3010,1.0301
378.3026,1.0301
380.3042,1.0301
382.3058,1.0301
384.3074,1.0301
386.3090,1.0301
388.3106,1.0289
390.3122,1.0262
392.3139,1.0216
394.3155,1.0149
396.3171,1.0067
398.3187,1.0045
400.3203,1.0133
402.3219,1.0324
404.3235,1.0491
406.3251,1.0595
408.3267,1.0624
410.3283,1.0622
412.3299,1.0589
414.3315,1.0558
416.3331,1.0542
418.3347,1.0542
420.3363,1.0542
422.3379,1.0542
424.3395,1.0542
426.3411,1.0542
428.3427,1.0530
430.3443,1.0487
432.3459,1.0412
434.3475,1.0343
436.3491,1.0307
438.3507,1.0301
440.3523,1.0301
442.3539,1.0301
444.3555,1.0301
446.3571,1.0301
448.3587,1.0301
450.3603,1.0301
452.3619,1.0301
454.3635,1.0301
456.3651,1.0301
458.3667,1.0304
460.3683,1.0339
462.3699,1.0406
464.3715,1.0483
466.3731,1.0528
468.3747,1.0542
470.3763,1.0526
472.3779,1.0494
474.3795,1.0447
476.3811,1.0400
478.3827,1.0352
480.3843,1.0320
482.3859,1.0302
484.3875,1.0289
486.3891,1.0246
488.3907,1.0171
490.3923,1.0103
492.3939,1.0066
494.3955,1.0056
496.3971,1.0036
498.3987,1.0000
500.4003,0.9952
502.4019,0.9905
504.4035,0.9861
506.4051,0.9832
508.4067,0.9819
510.4083,0.9819
512.4099,0.9819
514.4115,0.9819
516.4131,0.9819
518.4147,0.9819
520.4163,0.9819
522.4179,0.9819
524.4195,0.9819
526.4211,0.9803
528.4227,0.9772
530.4243,0.9724
532.4259,0.9677
534.4275,0.9630
536.4291,0.9597
538.4307,0.9580
540.4323,0.9572
542.4339,0.9551
544.4355,0.9513
546.4371,0.9466
548.4388,0.9419
550.4404,0.9367
552.4420,0.9300
554.4436,0.9216
556.4452,0.9145
558.4468,0.9105
560.4484,0.9096
562.4500,0.9096
564.4516,0.9096
