Time_ms,Amplitude_mV
0.0000,1.2530
2.0016,0.9254
4.0032,0.4250
6.0048,-0.0905
8.0064,-0.3768
10.0080,-0.4333
12.0096,-0.4155
14.0112,-0.3945
16.0128,-0.3679
18.0144,-0.3365
20.0160,-0.3011
22.0176,-0.2733
24.0192,-0.2549
26.0208,-0.2463
28.0224,-0.2392
30.0240,-0.2337
32.0256,-0.2337
34.0272,-0.2383
36.0288,-0.2477
38.0304,-0.2572
40.0320,-0.2667
42.0336,-0.2776
44.0352,-0.2901
46.0368,-0.3059
48.0384,-0.3266
50.0400,-0.3521
52.0416,-0.3805
54.0432,-0.4090
56.0448,-0.4374
58.0464,-0.4659
60.0480,-0.4943
62.0496,-0.5228
64.0512,-0.5512
66.0528,-0.5790
68.0544,-0.6037
70.0560,-0.6252
72.0576,-0.6463
74.0592,-0.6705
76.0608,-0.6973
78.0624,-0.7204
80.0641,-0.7388
82.0657,-0.7531
84.0673,-0.7673
86.0689,-0.7814
88.0705,-0.7923
90.0721,-0.8001
92.0737,-0.8072
94.0753,-0.8191
96.0769,-0.8356
98.0785,-0.8531
100.0801,-0.8690
102.0817,-0.8813
104.0833,-0.8888
106.0849,-0.8916
108.0865,-0.8916
110.0881,-0.8916
112.0897,-0.8916
114.0913,-0.8916
116.0929,-0.8916
118.0945,-0.8916
120.0961,-0.8916
122.0977,-0.8916
124.0993,-0.8916
126.1009,-0.8916
128.1025,-0.8916
130.1041,-0.8916
132.1057,-0.8916
134.1073,-0.8916
136.1089,-0.8916
138.1105,-0.8916
140.1121,-0.8916
142.1137,-0.8916
144.1153,-0.8916
146.1169,-0.8916
148.1185,-0.8916
150.1201,-0.8916
152.1217,-0.8916
154.1233,-0.8916
156.1249,-0.8916
158.1265,-0.8916
160.1281,-0.8916
162.1297,-0.8916
164.1313,-0.8916
166.1329,-0.8916
168.1345,-0.8916
170.1361,-0.8916
172.1377,-0.8916
174.1393,-0.8916
176.1409,-0.8916
178.1425,-0.8925
180.1441,-0.8967
182.1457,-0.9040
184.1473,-0.9110
186.1489,-0.9149
188.1505,-0.9157
190.1521,-0.9157
192.1537,-0.9157
194.1553,-0.9157
196.1569,-0.9157
198.1585,-0.9157
200.1601,-0.9157
202.1617,-0.9157
204.1633,-0.9157
206.1649,-0.9157
208.1665,-0.9157
210.1681,-0.9157
212.1697,-0.9157
214.1713,-0.9157
216.1729,-0.9157
218.1745,-0.9157
220.1761,-0.9157
222.1777,-0.9157
224.1793,-0.9157
226.1809,-0.9157
228.1825,-0.9157
230.1841,-0.9142
232.1857,-0.9112
234.1873,-0.9067
236.1890,-0.9019
238.1906,-0.8972
240.1922,-0.8937
242.1938,-0.8919
244.1954,-0.8916
246.1970,-0.8916
248.1986,-0.8916
250.2002,-0.8916
252.2018,-0.8916
254.2034,-0.8916
256.2050,-0.8916
258.2066,-0.8916
260.2082,-0.8916
262.2098,-0.8916
264.2114,-0.8916
266.2130,-0.8916
268.2146,-0.8916
270.2162,-0.8916
272.2178,-0.8916
274.2194,-0.8916
276.2210,-0.8916
278.2226,-0.8916
280.2242,-0.8916
282.2258,-0.8916
284.2274,-0.8916
286.2290,-0.8916
288.2306,-0.8916
290.2322,-0.8916
292.2338,-0.8916
294.2354,-0.8916
296.2370,-0.8916
298.2386,-0.8916
300.2402,-0.8916
302.2418,-0.8916
304.2434,-0.8916
306.2450,-0.8916
308.2466,-0.8916
310.2482,-0.8912
312.2498,-0.8892
314.2514,-0.8856
316.2530,-0.8809
318.2546,-0.8762
320.2562,-0.8717
322.2578,-0.8688
324.2594,-0.8675
326.2610,-0.8675
328.2626,-0.8675
330.2642,-0.8675
332.2658,-0.8675
334.2674,-0.8675
336.2690,-0.8675
338.2706,-0.8675
340.2722,-0.8675
342.2738,-0.8675
344.2754,-0.8675
346.2770,-0.8675
348.2786,-0.8675
350.2802,-0.8675
352.2818,-0.8675
354.2834,-0.8675
356.2850,-0.8675
358.2866,-0.8675
360.2882,-0.8675
362.2898,-0.8675
364.2914,-0.8675
366.2930,-0.8675
368.2946,-0.8675
370.2962,-0.8675
372.2978,-0.8675
374.2994,-0.8675
376.3010,-0.8675
378.3026,-0.8675
380.3042,-0.8675
382.3058,-0.8675
384.3074,-0.8675
386.3090,-0.8675
388.3106,-0.8675
390.3122,-0.8675
392.3139,-0.8675
394.3155,-0.8675
396.3171,-0.8675
398.3187,-0.8675
400.3203,-0.8675
402.3219,-0.8691
404.3235,-0.8739
406.3251,-0.8819
408.3267,-0.8914
410.3283,-0.9008
412.3299,-0.9089
414.3315,-0.9139
416.3331,-0.9157
418.3347,-0.9142
420.3363,-0.9112
422.3379,-0.9067
424.3395,-0.9019
426.3411,-0.8972
428.3427,-0.8937
430.3443,-0.8919
432.3459,-0.8916
434.3475,-0.8916
436.3491,-0.8916
438.3507,-0.8916
440.3523,-0.8916
442.3539,-0.8916
444.3555,-0.8916
446.3571,-0.8916
448.3587,-0.8905
450.3603,-0.8879
452.3619,-0.8837
454.3635,-0.8790
456.3651,-0.8742
458.3667,-0.8704
460.3683,-0.8681
462.3699,-0.8675
464.3715,-0.8675
466.3731,-0.8675
468.3747,-0.8675
470.3763,-0.8675
472.3779,-0.8675
474.3795,-0.8675
476.3811,-0.8675
478.3827,-0.8675
480.3843,-0.8675
482.3859,-0.8675
484.3875,-0.8675
486.3891,-0.8675
488.3907,-0.8675
490.3923,-0.8675
492.3939,-0.8675
494.3955,-0.8675
496.3971,-0.8675
498.3987,-0.8675
500.4003,-0.8675
502.4019,-0.8675
504.4035,-0.8675
506.4051,-0.8675
508.4067,-0.8675
510.4083,-0.8675
512.4099,-0.8675
514.4115,-0.8685
516.4131,-0.8710
518.4147,-0.8752
520.4163,-0.8799
522.4179,-0.8847
524.4195,-0.8885
526.4211,-0.8908
528.4227,-0.8916
530.4243,-0.8916
532.4259,-0.8916
534.4275,-0.8916
536.4291,-0.8916
538.4307,-0.8916
540.4323,-0.8916
542.4339,-0.8916
544.4355,-0.8916
546.4371,-0.8916
548.4388,-0.8916
550.4404,-0.8916
552.4420,-0.8916
554.4436,-0.8916
556.4452,-0.8916
558.4468,-0.8916
560.4484,-0.8916
562.4500,-0.8916
564.4516,-0.8916
566.4532,-0.8916
568.4548,-0.8916
570.4564,-0.8905
572.4580,-0.8878
574.4596,-0.8836
576.4612,-0.8789
578.4628,-0.8741
580.4644,-0.8703
582.4660,-0.8681
584.4676,-0.8675
586.4692,-0.8675
588.4708,-0.8675
590.4724,-0.8667
592.4740,-0.8643
594.4756,-0.8603
596.4772,-0.8555
598.4788,-0.8508
600.4804,-0.8467
602.4820,-0.8443
604.4836,-0.8434
606.4852,-0.8434
608.4868,-0.8434
610.4884,-0.8434
612.4900,-0.8434
614.4916,-0.8434
616.4932,-0.8421
618.4948,-0.8392
620.4964,-0.8348
622.4980,-0.8300
624.4996,-0.8253
626.5012,-0.8217
628.5028,-0.8197
630.5044,-0.8193
632.5060,-0.8193
634.5076,-0.8193
636.5092,-0.8193
638.5108,-0.8193
640.5124,-0.8193
642.5140,-0.8193
644.5156,-0.8193
646.5172,-0.8211
648.5188,-0.8260
