Time_ms,I_mV
0.0000,1.4639
2.0016,1.4616
4.0032,1.4580
6.0048,1.4544
8.0064,1.4523
10.0080,1.4516
12.0096,1.4498
14.0112,1.4464
16.0128,1.4417
18.0144,1.4370
20.0160,1.4322
22.0176,1.4275
24.0192,1.4228
26.0208,1.4188
28.0224,1.4165
30.0240,1.4157
32.0256,1.4142
34.0272,1.4111
36.0288,1.4064
38.0304,1.4017
40.0320,1.3970
42.0336,1.3936
44.0352,1.3918
46.0368,1.3916
48.0384,1.3916
50.0400,1.3916
52.0416,1.3916
54.0432,1.3916
56.0448,1.3916
58.0464,1.3916
60.0480,1.3916
62.0496,1.3916
64.0512,1.3916
66.0528,1.3914
68.0544,1.3896
70.0560,1.3862
72.0576,1.3815
74.0592,1.3767
76.0608,1.3721
78.0624,1.3690
80.0641,1.3675
82.0657,1.3675
84.0673,1.3675
86.0689,1.3675
88.0705,1.3675
90.0721,1.3675
92.0737,1.3649
94.0753,1.3561
96.0769,1.3409
98.0785,1.3233
100.0801,1.3073
102.0817,1.2944
104.0833,1.2864
106.0849,1.2831
108.0865,1.2831
110.0881,1.2831
112.0897,1.2835
114.0913,1.2854
116.0929,1.2889
118.0945,1.2926
120.0961,1.2947
122.0977,1.2952
124.0993,1.2952
126.1009,1.2952
128.1025,1.2952
130.1041,1.2952
132.1057,1.2952
134.1073,1.2952
136.1089,1.2952
138.1105,1.2960
140.1121,1.2983
142.1137,1.3022
144.1153,1.3070
146.1169,1.3117
148.1185,1.3158
150.1201,1.3183
152.1217,1.3193
154.1233,1.3193
156.1249,1.3193
158.1265,1.3193
160.1281,1.3193
162.1297,1.3193
164.1313,1.3205
166.1329,1.3233
168.1345,1.3276
170.1361,1.3323
172.1377,1.3371
174.1393,1.3439
176.1409,1.3539
178.1425,1.3669
180.1441,1.3793
182.1457,1.3901
184.1473,1.3987
186.1489,1.4057
188.1505,1.4111
190.1521,1.4158
192.1537,1.4205
194.1553,1.4245
196.1569,1.4269
198.1585,1.4277
200.1601,1.4292
202.1617,1.4323
204.1633,1.4369
206.1649,1.4416
208.1665,1.4464
210.1681,1.4524
212.1697,1.4601
214.1713,1.4674
