Time_ms,Amplitude_mV
0.0000,2.0422
2.0016,2.0422
4.0032,2.0422
6.0048,2.0422
8.0064,2.0422
10.0080,2.0428
12.0096,2.0482
14.0112,2.0583
16.0128,2.0706
18.0144,2.0798
20.0160,2.0858
22.0176,2.0906
24.0192,2.0953
26.0208,2.1008
28.0224,2.1079
30.0240,2.1166
32.0256,2.1230
34.0272,2.1264
36.0288,2.1265
38.0304,2.1265
40.0320,2.1265
42.0336,2.1292
44.0352,2.1351
46.0368,2.1436
48.0384,2.1510
50.0400,2.1568
52.0416,2.1628
54.0432,2.1703
56.0448,2.1797
58.0464,2.1911
60.0480,2.2041
62.0496,2.2204
64.0512,2.2399
66.0528,2.2609
68.0544,2.2703
70.0560,2.2671
72.0576,2.2519
74.0592,2.2352
76.0608,2.2173
78.0624,2.2083
80.0641,2.2086
82.0657,2.2197
84.0673,2.2338
86.0689,2.2512
88.0705,2.2656
90.0721,2.2753
92.0737,2.2828
94.0753,2.2964
96.0769,2.3163
98.0785,2.3427
100.0801,2.3722
102.0817,2.4019
104.0833,2.4227
106.0849,2.4339
108.0865,2.4350
110.0881,2.4314
112.0897,2.4258
114.0913,2.4317
116.0929,2.4503
118.0945,2.4765
120.0961,2.4997
122.0977,2.5186
124.0993,2.5287
126.1009,2.5308
128.1025,2.5279
130.1041,2.5282
132.1057,2.5316
134.1073,2.5380
136.1089,2.5459
138.1105,2.5546
140.1121,2.5618
142.1137,2.5673
144.1153,2.5705
146.1169,2.5722
148.1185,2.5742
150.1201,2.5808
152.1217,2.5921
154.1233,2.6050
156.1249,2.6163
158.1265,2.6240
160.1281,2.6253
162.1297,2.6202
164.1313,2.6143
166.1329,2.6132
168.1345,2.6145
170.1361,2.6066
172.1377,2.5883
174.1393,2.5599
176.1409,2.5286
178.1425,2.4950
180.1441,2.4643
182.1457,2.4373
184.1473,2.4154
186.1489,2.3968
188.1505,2.3813
190.1521,2.3687
192.1537,2.3577
194.1553,2.3475
196.1569,2.3357
198.1585,2.3223
200.1601,2.3110
202.1617,2.3030
204.1633,2.2974
206.1649,2.2905
208.1665,2.2820
210.1681,2.2725
212.1697,2.2631
214.1713,2.2536
216.1729,2.2441
218.1745,2.2347
220.1761,2.2252
222.1777,2.2157
224.1793,2.2063
226.1809,2.1968
228.1825,2.1873
230.1841,2.1779
232.1857,2.1684
234.1873,2.1595
236.1890,2.1553
238.1906,2.1559
240.1922,2.1588
242.1938,2.1586
244.1954,2.1552
246.1970,2.1505
248.1986,2.1457
250.2002,2.1410
252.2018,2.1363
254.2034,2.1315
256.2050,2.1253
258.2066,2.1175
260.2082,2.1088
262.2098,2.1015
264.2114,2.0958
266.2130,2.1004
268.2146,2.1161
270.2162,2.1413
272.2178,2.1636
274.2194,2.1811
276.2210,2.1905
278.2226,2.1937
280.2242,2.1905
282.2258,2.1858
284.2274,2.1810
286.2290,2.1763
288.2306,2.1716
290.2322,2.1672
292.2338,2.1660
294.2354,2.1679
296.2370,2.1727
298.2386,2.1774
300.2402,2.1821
302.2418,2.1852
304.2434,2.1867
306.2450,2.1867
308.2466,2.1867
310.2482,2.1867
312.2498,2.1867
314.2514,2.1867
316.2530,2.1867
318.2546,2.1867
320.2562,2.1867
322.2578,2.1867
324.2594,2.1867
326.2610,2.1867
328.2626,2.1867
330.2642,2.1867
332.2658,2.1867
334.2674,2.1867
336.2690,2.1871
338.2706,2.1890
340.2722,2.1924
342.2738,2.1992
344.2754,2.2092
346.2770,2.2218
348.2786,2.2307
350.2802,2.2349
352.2818,2.2340
354.2834,2.2316
356.2850,2.2275
358.2866,2.2212
360.2882,2.2132
362.2898,2.2038
364.2914,2.1943
366.2930,2.1848
368.2946,2.1783
370.2962,2.1749
372.2978,2.1753
374.2994,2.1775
376.3010,2.1812
378.3026,2.1847
380.3042,2.1865
382.3058,2.1867
384.3074,2.1867
386.3090,2.1867
388.3106,2.1867
390.3122,2.1867
392.3139,2.1864
394.3155,2.1845
396.3171,2.1811
398.3187,2.1825
400.3203,2.1934
402.3219,2.2133
404.3235,2.2317
406.3251,2.2454
408.3267,2.2522
410.3283,2.2543
412.3299,2.2517
414.3315,2.2485
416.3331,2.2470
418.3347,2.2455
420.3363,2.2409
422.3379,2.2331
424.3395,2.2222
426.3411,2.2097
428.3427,2.1974
430.3443,2.1897
432.3459,2.1867
434.3475,2.1867
436.3491,2.1867
438.3507,2.1867
440.3523,2.1867
442.3539,2.1867
444.3555,2.1867
446.3571,2.1867
448.3587,2.1864
450.3603,2.1846
452.3619,2.1811
454.3635,2.1794
456.3651,2.1825
458.3667,2.1903
460.3683,2.1998
462.3699,2.2092
464.3715,2.2178
466.3731,2.2248
468.3747,2.2302
470.3763,2.2318
472.3779,2.2302
474.3795,2.2254
476.3811,2.2207
478.3827,2.2160
480.3843,2.2083
482.3859,2.1975
484.3875,2.1842
486.3891,2.1721
488.3907,2.1617
490.3923,2.1535
492.3939,2.1470
494.3955,2.1424
496.3971,2.1397
498.3987,2.1386
500.4003,2.1362
502.4019,2.1308
504.4035,2.1227
506.4051,2.1170
508.4067,2.1145
510.4083,2.1145
512.4099,2.1145
514.4115,2.1143
516.4131,2.1126
518.4147,2.1093
520.4163,2.1045
522.4179,2.0998
524.4195,2.0951
526.4211,2.0919
528.4227,2.0904
530.4243,2.0904
532.4259,2.0904
534.4275,2.0904
536.4291,2.0904
538.4307,2.0904
540.4323,2.0898
542.4339,2.0876
544.4355,2.0839
546.4371,2.0778
548.4388,2.0702
550.4404,2.0615
552.4420,2.0540
554.4436,2.0482
556.4452,2.0446
558.4468,2.0426
560.4484,2.0422
562.4500,2.0422
564.4516,2.0422
566.4532,2.0422
568.4548,2.0422
570.4564,2.0422
572.4580,2.0422
574.4596,2.0422
576.4612,2.0422
578.4628,2.0422
580.4644,2.0422
582.4660,2.0422
584.4676,2.0422
586.4692,2.0422
588.4708,2.0422
590.4724,2.0422
592.4740,2.0422
594.4756,2.0422
596.4772,2.0404
598.4788,2.0340
600.4804,2.0228
602.4820,2.0112
604.4836,2.0027
606.4852,1.9983
608.4868,1.9976
610.4884,2.0000
612.4900,2.0047
614.4916,2.0095
616.4932,2.0136
618.4948,2.0146
620.4964,2.0125
622.4980,2.0108
624.4996,2.0138
626.5012,2.0212
628.5028,2.0273
630.5044,2.0301
632.5060,2.0293
634.5076,2.0268
636.5092,2.0228
638.5108,2.0228
640.5124,2.0275
642.5140,2.0363
644.5156,2.0435
646.5172,2.0490
648.5188,2.0495
650.5204,2.0452
652.5220,2.0362
654.5236,2.0267
656.5252,2.0172
658.5268,2.0142
660.5284,2.0191
662.5300,2.0310
664.5316,2.0411
666.5332,2.0482
668.5348,2.0472
670.5364,2.0383
672.5380,2.0224
674.5396,2.0091
676.5412,2.0004
678.5428,1.9977
680.5444,1.9981
682.5460,2.0025
684.5476,2.0175
686.5492,2.0420
688.5508,2.0734
690.5524,2.1017
692.5540,2.1268
694.5556,2.1395
696.5572,2.1411
698.5588,2.1317
700.5604,2.1223
702.5620,2.1128
704.5637,2.1033
706.5653,2.0939
708.5669,2.0850
710.5685,2.0776
712.5701,2.0719
714.5717,2.0646
716.5733,2.0541
718.5749,2.0430
720.5765,2.0402
722.5781,2.0466
724.5797,2.0727
726.5813,2.1169
728.5829,2.1709
730.5845,2.1823
732.5861,2.1460
734.5877,2.0723
736.5893,2.0017
738.5909,1.9387
740.5925,1.9305
742.5941,1.9760
744.5957,2.0435
746.5973,2.0606
748.5989,2.0272
750.6005,1.9970
752.6021,1.9936
754.6037,2.0263
756.6053,2.0804
758.6069,2.1555
760.6085,2.2073
762.6101,2.2201
764.6117,2.2081
766.6133,2.2318
768.6149,2.2951
770.6165,2.3833
772.6181,2.4706
774.6197,2.5528
776.6213,2.6195
778.6229,2.6706
780.6245,2.7185
782.6261,2.7778
784.6277,2.8419
786.6293,2.8709
788.6309,2.8616
790.6325,2.8023
792.6341,2.7134
794.6357,2.5973
796.6373,2.4983
798.6389,2.4274
800.6405,2.2998
802.6421,2.0169
804.6437,1.5788
806.6453,1.2383
808.6469,1.0703
810.6485,1.0845
812.6501,1.1234
814.6517,1.1847
816.6533,1.2650
818.6549,1.3526
820.6565,1.4474
822.6581,1.5430
824.6597,1.6386
826.6613,1.7251
828.6629,1.8002
830.6645,1.8615
832.6661,1.9111
834.6677,1.9513
836.6693,1.9811
838.6709,2.0061
840.6725,2.0259
842.6741,2.0411
844.6757,2.0532
846.6773,2.0627
848.6789,2.0721
850.6805,2.0814
852.6821,2.0874
854.6837,2.0904
856.6853,2.0904
858.6869,2.0904
860.6886,2.0904
862.6902,2.0919
864.6918,2.0950
866.6934,2.1004
868.6950,2.1074
870.6966,2.1160
872.6982,2.1255
874.6998,2.1349
876.7014,2.1444
878.7030,2.1539
880.7046,2.1633
882.7062,2.1728
884.7078,2.1823
886.7094,2.1913
888.7110,2.1988
890.7126,2.2047
892.7142,2.2072
894.7158,2.2066
896.7174,2.2025
898.7190,2.1959
900.7206,2.1878
902.7222,2.1803
904.7238,2.1759
906.7254,2.1748
908.7270,2.1765
910.7286,2.1798
912.7302,2.1837
914.7318,2.1860
916.7334,2.1867
918.7350,2.1898
920.7366,2.1961
922.7382,2.2055
924.7398,2.2149
926.7414,2.2244
928.7430,2.2311
930.7446,2.2346
932.7462,2.2333
934.7478,2.2270
936.7494,2.2159
938.7510,2.2067
940.7526,2.2039
942.7542,2.2073
944.7558,2.2120
946.7574,2.2168
948.7590,2.2226
950.7606,2.2300
952.7622,2.2383
954.7638,2.2423
956.7654,2.2415
958.7670,2.2377
960.7686,2.2356
962.7702,2.2350
964.7718,2.2367
966.7734,2.2400
968.7750,2.2431
970.7766,2.2430
972.7782,2.2398
974.7798,2.2443
976.7814,2.2582
978.7830,2.2803
980.7846,2.2995
